student id,student name,gpa,image,address,notes
21127188,Đỗ Minh Triết,8.53,,"176 Vo Thi Sau, Ward 07, Dist.3",
21127193,Nguyễn Thanh Tú,3.86,,37-C9 Phuong Mai Street,
21127195,Lê Tự Anh Tuấn,6.78,,National Hightway 1A,
21127199,Trần Quốc Tuấn,0.27,,"140 Dien Bien Phu Street, District 1",
21127203,Hoàng Đức Việt,3.13,,"176/22A Hoa Binh St., Tan Thoi Hoa Ward",
21127205,Cao Hoài Yến Vy,5.8,,"165/35 Street 3/2, Ward 11, District 10",
21127223,Nguyễn Tiến Bách,1.26,,Urban My Dinh 2,
21127236,Vũ Đình Chương,7.2,,"92 - 94 Nguyen Thi Tan, P2.",
21127267,Phan Văn Bá Hải,2.6,,107 Nguyen Van Cu Street,
21127291,Nguyễn Quỳnh Hương,2.28,,"ET4 Nguyen Hong Dao, Ward 13",
21127297,Đỗ Phạm Thanh Huy,1.45,,"127, Group 15, Song Hien Ward",
21127306,Phùng Quang Minh Huy,1.36,,"4K2 Phan Dinh Phung Street, Ward 17",
21127327,Nguyễn Trần Trung Kiên,7.44,,"106/9 Nguyen Hong, Ward 11",
21127335,Sầm Phan Hoài Lâm,8.2,,"811 Tran Hung Dao, Ward 1, District 5",
21127345,Nguyễn Quang Lộc,9.28,,"176/22A Hoa Binh St., Tan Thoi Hoa Ward",
21127364,Phạm Thị Phương Nam,7.69,,"92 - 94 Nguyen Thi Tan, P2.",
21127382,Phù Thành Nhân,3.05,,107 Nguyen Van Cu Street,
21127402,Nguyễn Minh Quân,8.36,,"ET4 Nguyen Hong Dao, Ward 13",
21127409,Nguyễn Minh Quôc,1.79,,"127, Group 15, Song Hien Ward",
21127414,Nguyễn Thái Đan Sâm,3.04,,"4K2 Phan Dinh Phung Street, Ward 17",
21127421,Hồ Hữu Tâm,4.23,,"106/9 Nguyen Hong, Ward 11",
21127474,Nguyễn Hải Tuyên,6.24,,405 Kim Nguu Street,
21127483,Nguyễn Ngọc Vũ,2.47,,"67/5C Tam Dong Hamlet, Thoi Tam Thon Ward",
21127507,Đinh Công Huy Hoàng,7.15,,306 Nguyen Trai,
21127518,Nguyễn Vũ Minh Khôi,3.72,,"165/35 Street 3/2, Ward 11, District 10",
21127559,Trần Đình Trung,1.54,,Urban My Dinh 2,
21127570,Trần Minh Đạt,3.38,,"92 - 94 Nguyen Thi Tan, P2.",
21127596,Bùi Minh Đức,1.08,,"4K2 Phan Dinh Phung Street, Ward 17",
21127600,Nguyễn Tuấn Dương,1.33,,"106/9 Nguyen Hong, Ward 11",
21127614,Phan Minh Nhật Hưng,7.11,,"811 Tran Hung Dao, Ward 1, District 5",
21127621,Âu Dương Khang,9.15,,"176/22A Hoa Binh St., Tan Thoi Hoa Ward",
21127629,Trần Minh Khoa,7.45,,"92 - 94 Nguyen Thi Tan, P2.",
21127631,Vũ Anh Khoa,4.58,,107 Nguyen Van Cu Street,
21127634,Mạch Vĩ Kiệt,3.87,,"ET4 Nguyen Hong Dao, Ward 13",
21127639,Hoàng Vạn Lộc,4.78,,"165/35 Street 3/2, Ward 11, District 10",
21127658,Trần Hà Minh Nhật,8.9,,Urban My Dinh 2,
21127662,Nguyễn Bùi Mẫn Nhi,9.11,,"92 - 94 Nguyen Thi Tan, P2.",
21127666,Trần Thuận Phát,1.52,,107 Nguyen Van Cu Street,
21127681,Lê Mỹ Khánh Quỳnh,1.95,,"ET4 Nguyen Hong Dao, Ward 13",
21127709,Lê Vũ Ngân Trúc,4.62,,"127, Group 15, Song Hien Ward",
21127723,Bùi Quang Vinh,6.13,,"4K2 Phan Dinh Phung Street, Ward 17",
21127736,Trần Thái Toàn,7.41,,"106/9 Nguyen Hong, Ward 11",
21127739,Vũ Minh Phát,8.17,,"167, Quang Trung",
21127008,Phạm Duy Anh,0.39,,Tan An Commune,
21127016,Võ Ngọc Gia Bảo,1.09,,"Mr Nguyen Tho Thai, Tap Cat 2 Village",
21127019,Lê Phương Chi,5.67,,101 Trung Nu Vuong St.,
21127043,Lư Trung Hậu,6.63,,"11/72G Quang Trung, Ward 8",
21127050,Trần Nguyên Huân,1.29,,"92 Trieu Quoc Dat Street, City",
21127076,Doãn Anh Khoa,4.06,,"106/1132C Le Duc Tho St., Ward 13",
21127083,Hoàng Đức Kiên,9.05,,"113 Phung Hung, Hoan Kiem",
21127089,Nguyễn Tuấn Kiệt,1.71,,"106/9 Nguyen Hong, Ward 11",
21127119,Phạm Ánh Như Ngọc,6.5,,"167, Quang Trung",
21127131,Trần Hải Phát,7.44,,Tan An Commune,
21127143,Nguyễn Minh Quân,5.25,,"Mr Nguyen Tho Thai, Tap Cat 2 Village",
21127177,Nguyễn Anh Thư,7.95,,101 Trung Nu Vuong St.,
21127181,Nguyễn Nhật Tiến,1.99,,"11/72G Quang Trung, Ward 8",
21127240,Nguyễn Phát Đạt,7.86,,"92 Trieu Quoc Dat Street, City",
21127262,Lê Trường Giang,1.04,,"106/1132C Le Duc Tho St., Ward 13",
21127272,Văn Ngọc Nguyên Hạo,7.07,,"113 Phung Hung, Hoan Kiem",
21127275,Võ Thanh Hiệp,3.68,,"106/9 Nguyen Hong, Ward 11",
21127285,Phan Thanh Hoàng,8.93,,405 Kim Nguu Street,
21127289,Đoàn Việt Hưng,8.37,,"67/5C Tam Dong Hamlet, Thoi Tam Thon Ward",
21127322,Hoàng Xuân Khôi,0.34,,306 Nguyen Trai,
21127342,Nguyễn Đức Việt Linh,1.56,,"165/35 Street 3/2, Ward 11, District 10",
21127377,Lâm Trọng Nhân,7.75,,Urban My Dinh 2,
21127388,Tăng Đức Phong,1.59,,"92 - 94 Nguyen Thi Tan, P2.",
21127392,Lê Huỳnh Phúc,4.71,,"4K2 Phan Dinh Phung Street, Ward 17",
21127396,Nguyễn Phan Tuấn Phúc,0.4,,"106/9 Nguyen Hong, Ward 11",
21127406,Trần Đình Quang,6.83,,"ET4 Nguyen Hong Dao, Ward 13",
21127407,Trần Minh Quang,6.62,,"127, Group 15, Song Hien Ward",
21127411,Trần Thanh Quý,9.16,,"4K2 Phan Dinh Phung Street, Ward 17",
21127412,Hồ Bạch Như Quỳnh,3.76,,"106/9 Nguyen Hong, Ward 11",
21127426,Lê Đoàn Thắng,2.1,,405 Kim Nguu Street,
21127454,Đinh Bảo Trân,9.29,,"67/5C Tam Dong Hamlet, Thoi Tam Thon Ward",
21127460,Dương Thanh Trúc,5.41,,306 Nguyen Trai,
21127463,Nguyễn Thế Trung,8.49,,"165/35 Street 3/2, Ward 11, District 10",
21127469,Võ Thanh Tú,1.31,,Urban My Dinh 2,
21127476,Lê Nguyễn Phương Uyên,2.47,,"92 - 94 Nguyen Thi Tan, P2.",
21127505,Ngô Xuân Hiếu,5.49,,"4K2 Phan Dinh Phung Street, Ward 17",
21127511,Nguyễn Quốc Huy,7.72,,"106/9 Nguyen Hong, Ward 11",
21127537,Phạm Sĩ Phú,7.69,,"811 Tran Hung Dao, Ward 1, District 5",
21127553,Lê Gia Quốc Tỉ,1.12,,"176/22A Hoa Binh St., Tan Thoi Hoa Ward",
21127556,Đỗ Quốc Trí,2.52,,"92 - 94 Nguyen Thi Tan, P2.",
21127560,Nguyễn Bảo Tuấn,3.16,,107 Nguyen Van Cu Street,
21127569,Lê Tiến Đạt,8.55,,"ET4 Nguyen Hong Dao, Ward 13",
21127572,Đinh Thị Thuỳ Dương,1.53,,"165/35 Street 3/2, Ward 11, District 10",
21127576,Ngô Đức Tín,6.77,,Urban My Dinh 2,
21127578,Nguyễn Hồng Quế Anh,7.57,,"92 - 94 Nguyen Thi Tan, P2.",
21127579,Phạm Bùi Tuấn Anh,3.18,,107 Nguyen Van Cu Street,
21127589,Nguyễn Gia Bảo Danh,1.49,,"ET4 Nguyen Hong Dao, Ward 13",
21127590,Nguyễn Đức Tuấn Đạt,8.65,,"127, Group 15, Song Hien Ward",
21127601,Đỗ Hoàng Khánh Duy,1.99,,"4K2 Phan Dinh Phung Street, Ward 17",
21127613,Đoàn Nguyễn Hưng,3.13,,"106/9 Nguyen Hong, Ward 11",
21127615,Bạch Gia Huy,9.08,,Urban My Dinh 2,
21127620,Trần Hoàng Khải,7.33,,"92 - 94 Nguyen Thi Tan, P2.",
21127636,Tăng Kim Lân,0.67,,"4K2 Phan Dinh Phung Street, Ward 17",
21127642,Trịnh Minh Long,6.62,,"106/9 Nguyen Hong, Ward 11",
21127643,Nguyễn Chí Lương,7.47,,"ET4 Nguyen Hong Dao, Ward 13",
21127649,Nguyễn Trung Nga,8.49,,"127, Group 15, Song Hien Ward",
21127656,Ngô Đức Nhân,2.69,,"4K2 Phan Dinh Phung Street, Ward 17",
21127657,Nguyễn Khánh Nhân,9.47,,"106/9 Nguyen Hong, Ward 11",
21127670,Hồ Thế Phúc,4.59,,405 Kim Nguu Street,
21127671,Nguyễn Hoàng Phúc,1.93,,"67/5C Tam Dong Hamlet, Thoi Tam Thon Ward",
21127674,Sú Quang Mỹ Phụng,1.58,,306 Nguyen Trai,
21127677,Võ Phạm Thanh Phương,6.47,,"165/35 Street 3/2, Ward 11, District 10",
21127689,Nguyễn Hồng Thái,3.43,,Urban My Dinh 2,
21127696,Nguyễn Minh Thông,4.08,,"92 - 94 Nguyen Thi Tan, P2.",
21127705,Từ Phước Toàn,4.15,,"4K2 Phan Dinh Phung Street, Ward 17",
21127708,Nguyễn Phú Trọng,4.46,,"106/9 Nguyen Hong, Ward 11",
21127713,Nguyễn Sơn Trường,8.99,,"811 Tran Hung Dao, Ward 1, District 5",
21127717,Phạm Trần Tuấn Tú,3.06,,"176/22A Hoa Binh St., Tan Thoi Hoa Ward",
21127733,Lê Nguyễn Thái Dương,9.41,,"92 - 94 Nguyen Thi Tan, P2.",
21127734,Huỳnh Sỉ Kha,6.14,,107 Nguyen Van Cu Street,
21127740,Đoàn Nam Thắng,5.66,,"ET4 Nguyen Hong Dao, Ward 13",
21127741,Nguyễn Lê Tấn Thành,8.44,,"127, Group 15, Song Hien Ward",
21127004,Trần Nguyễn An Phong,5.36,,"4K2 Phan Dinh Phung Street, Ward 17",
21127005,Lê Trọng Đức Anh,9.15,,"106/9 Nguyen Hong, Ward 11",
21127011,Trịnh Xuân Bách,6.57,,405 Kim Nguu Street,
21127031,Phạm Quốc Duy,9.18,,"67/5C Tam Dong Hamlet, Thoi Tam Thon Ward",
21127035,Huỳnh Sơn Hà,1.48,,306 Nguyen Trai,
21127041,Lý Nhật Hào,2.97,,"165/35 Street 3/2, Ward 11, District 10",
21127051,Đào Tiến Hưng,2.25,,Urban My Dinh 2,
21127058,Lưu Đình Huy,2.21,,"92 - 94 Nguyen Thi Tan, P2.",
21127072,Nguyễn Hữu Khánh,5.55,,107 Nguyen Van Cu Street,
21127073,Nguyễn Lê Quốc Khánh,2.85,,"ET4 Nguyen Hong Dao, Ward 13",
21127081,Nguyễn Minh Khôi,7.38,,"127, Group 15, Song Hien Ward",
21127085,Phan Trung Kiên,4.18,,"4K2 Phan Dinh Phung Street, Ward 17",
21127087,Nguyễn Gia Kiệt,3.77,,"106/9 Nguyen Hong, Ward 11",
21127099,Nguyễn Tấn Lộc,3.19,,405 Kim Nguu Street,
21127102,Nguyễn Thành Luân,8.43,,"67/5C Tam Dong Hamlet, Thoi Tam Thon Ward",
21127104,Đoàn Ngọc Mai,4.79,,"80/46 Tran Quang Dieu, Ward 14, Dist.3",
21127107,Bùi Vũ Thế Minh,2.73,,534 Minh Khai street,
21127129,Lê Nguyễn Kiều Oanh,4.08,,"176 Vo Thi Sau, Ward 07, Dist.3",
21127133,Đoàn Gia Phú,8.82,,37-C9 Phuong Mai Street,
21127135,Diệp Hữu Phúc,1.73,,National Hightway 1A,
21127147,Võ Anh Quân,0.86,,"140 Dien Bien Phu Street, District 1",
21127149,Huỳnh Minh Quang,1.55,,"176/22A Hoa Binh St., Tan Thoi Hoa Ward",
21127159,Nguyễn Cao Sơn,7.83,,Urban My Dinh 2,
21127160,Nguyễn Thanh Sơn,4.47,,"92 - 94 Nguyen Thi Tan, P2.",
21127163,Nguyễn Quang Thái,8.84,,"4K2 Phan Dinh Phung Street, Ward 17",
21127174,Tăng Tường Thoại,2.93,,"106/9 Nguyen Hong, Ward 11",
21127202,Trần Minh Hải Uyên,6.51,,"811 Tran Hung Dao, Ward 1, District 5",
21127226,Huỳnh Long Thiên Bảo,7.89,,"176/22A Hoa Binh St., Tan Thoi Hoa Ward",
21127230,Lê Tuấn Bình,1.81,,"92 - 94 Nguyen Thi Tan, P2.",
21127234,Nguyễn Lê Anh Chi,7.41,,107 Nguyen Van Cu Street,
21127235,Nguyễn Xuân Quỳnh Chi,5.43,,"ET4 Nguyen Hong Dao, Ward 13",
21127241,Nguyễn Thành Đạt,3.45,,"127, Group 15, Song Hien Ward",
21127243,Phùng Siêu Đạt,8.43,,"4K2 Phan Dinh Phung Street, Ward 17",
21127247,Quách Tấn Dũng,4.37,,"106/9 Nguyen Hong, Ward 11",
21127257,Phạm Trần Minh Duy,8.18,,"176/22A Hoa Binh St., Tan Thoi Hoa Ward",
21127259,Trần Hoàng Duy,2.29,,"92 - 94 Nguyen Thi Tan, P2.",
21127296,Đặng Hà Huy,1.98,,107 Nguyen Van Cu Street,
21127300,Nguyễn Cát Huy,5.53,,"ET4 Nguyen Hong Dao, Ward 13",
21127309,Trương Đình Huy,3.54,,"127, Group 15, Song Hien Ward",
21127315,Nguyễn Gia Khánh,5.25,,"4K2 Phan Dinh Phung Street, Ward 17",
21127324,Phạm Minh Khôi,6.31,,"106/9 Nguyen Hong, Ward 11",
21127325,Phan Đặng Anh Khôi,9.04,,405 Kim Nguu Street,
21127329,Châu Tấn Kiệt,5.74,,"67/5C Tam Dong Hamlet, Thoi Tam Thon Ward",
21127331,Nguyễn Văn Tuấn Kiệt,5.15,,306 Nguyen Trai,
21127440,Nguyễn Phước Thịnh,5.04,,"165/35 Street 3/2, Ward 11, District 10",
21127443,Trần Ngọc Trường Thịnh,0.99,,Urban My Dinh 2,
21127457,Vũ Minh Triết,5.48,,"92 - 94 Nguyen Thi Tan, P2.",
21127495,Lê Ngô Song Cát,0.6,,"4K2 Phan Dinh Phung Street, Ward 17",
21127500,Lê Văn Dương,1.4,,"106/9 Nguyen Hong, Ward 11",
21127508,Mai Huy Hoàng,6.77,,"811 Tran Hung Dao, Ward 1, District 5",
21127535,Thành Thiện Nhân,1.89,,"176/22A Hoa Binh St., Tan Thoi Hoa Ward",
21127571,Huỳnh Vĩnh Đồ,3.49,,"92 - 94 Nguyen Thi Tan, P2.",
21127586,Trần Ngọc Minh Châu,3.1,,"ET4 Nguyen Hong Dao, Ward 13",
21127594,Phạm Huỳnh Tấn Đạt,4.6,,"165/35 Street 3/2, Ward 11, District 10",
21127606,Bùi Nguyên Hanh,9.82,,Urban My Dinh 2,
21127617,Phạm Hoàng Gia Huy,3.67,,"92 - 94 Nguyen Thi Tan, P2.",
21127627,Cao Nguyễn Khánh,3.67,,107 Nguyen Van Cu Street,
21127630,Trần Nguyễn Anh Khoa,4.29,,"ET4 Nguyen Hong Dao, Ward 13",
21127659,Bùi Ngọc Kiều Nhi,5.35,,"127, Group 15, Song Hien Ward",
21127667,Trương Công Gia Phát,9.26,,"4K2 Phan Dinh Phung Street, Ward 17",
21127675,Nguyễn Hoàng Phước,9.59,,"106/9 Nguyen Hong, Ward 11",
21127686,Nguyễn Phùng Tài,8.65,,Urban My Dinh 2,
21127695,Hoàng Trần Thông,4.43,,"92 - 94 Nguyen Thi Tan, P2.",
21127711,Trịnh Minh Trung,4.87,,"106/9 Nguyen Hong, Ward 11",
21127712,Lê Quang Trường,9.36,,"811 Tran Hung Dao, Ward 1, District 5",
21127720,Đặng Vĩnh Tường,3.35,,"176/22A Hoa Binh St., Tan Thoi Hoa Ward",
21127725,Trịnh Long Vũ,2.6,,"92 - 94 Nguyen Thi Tan, P2.",
21127737,Trần Công Bảo,5.01,,"ET4 Nguyen Hong Dao, Ward 13",
21127738,Trần Bảo Ngọc,6.9,,"165/35 Street 3/2, Ward 11, District 10",
21127743,Trần Thái Toàn,2.79,,Urban My Dinh 2,
